Trends in Number of COVID-19 Vaccinations in the US,,,,,,,,,,,,,
Date generated: Sun Oct 10 2021 15:21:44 GMT+0800 (中国标准时间),,,,,,,,,,,,,
Date Type,Date,Location,Total Doses Administered Daily,Daily Count People Receiving Dose 1,Total Doses Administered Cumulative,People Receiving 1 or More Doses Cumulative,7-Day Avg Daily Count Dose 1,7-Day Avg Total Doses Daily,Total Doses Administered Daily Change,7-Day Avg Total Doses Administered Daily Change,Daily Count of People Fully Vaccinated,People Fully Vaccinated Cumulative,7-Day Avg Daily Count of People Fully Vaccinated
Admin,2021/6/27,US,264112,127794,333820871,183197898,283695,603925,,,145903,157501521,347457
Report,2021/6/27,US,,,,,,,1204225,765846,,,
Admin,2021/6/28,US,546350,277144,334367221,183475042,280225,603143,,,294145,157795666,349116
Report,2021/6/28,US,,,,,,,1087043,833990,,,
Admin,2021/6/29,US,620136,299389,334987357,183774431,276520,585231,,,345374,158141040,333681
Report,2021/6/29,US,,,,,,,738476,847000,,,
Admin,2021/6/30,US,622972,309342,335610329,184083773,273355,570467,,,339685,158480725,321216
Report,2021/6/30,US,,,,,,,1368679,949925,,,
Admin,2021/7/1,US,588508,289842,336198837,184373615,268956,555871,,,320427,158801152,309407
Report,2021/7/1,US,,,,,,,1630778,1066443,,,
Admin,2021/7/2,US,612039,307337,336810876,184680952,262531,535273,,,329622,159130774,294415
Report,2021/7/2,US,,,,,,,657166,1087156,,,
Admin,2021/7/3,US,351333,180541,337162209,184861493,255913,515064,,,182883,159313657,279719
Report,2021/7/3,US,,,,,,,1161081,1121064,,,
Admin,2021/7/4,US,49373,27568,337211582,184889061,241595,484387,,,26369,159340026,262643
Report,2021/7/4,US,,,,,,,633702,1039561,,,
Admin,2021/7/5,US,391180,201680,337602762,185090741,230814,462220,,,201959,159541985,249474
Report,2021/7/5,US,,,,,,,390686,940081,,,
Admin,2021/7/6,US,575917,275190,338178679,185365931,227357,455903,,,325750,159867735,246670
Report,2021/7/6,US,,,,,,,219408,865929,,,
Admin,2021/7/7,US,561751,282457,338740430,185648388,223516,447157,,,307964,160175699,242139
Report,2021/7/7,US,,,,,,,437117,732848,,,
Admin,2021/7/8,US,557449,289044,339297879,185937432,223402,442720,,,300271,160475970,239259
Report,2021/7/8,US,,,,,,,694333,599070,,,
Admin,2021/7/9,US,624110,322794,339921989,186260226,225611,444444,,,332062,160808032,239608
Report,2021/7/9,US,,,,,,,620612,593848,,,
Admin,2021/7/10,US,395728,211922,340317717,186472148,230094,450786,,,199886,161007918,242037
Report,2021/7/10,US,,,,,,,598995,513550,,,
Admin,2021/7/11,US,213560,116726,340531277,186588874,242830,474242,,,104140,161112058,253147
Report,2021/7/11,US,,,,,,,586244,506771,,,
Admin,2021/7/12,US,512040,274727,341043317,186863601,253266,491507,,,263802,161375860,261982
Report,2021/7/12,US,,,,,,,449122,515119,,,
Admin,2021/7/13,US,519548,281024,341562865,187144625,254099,483455,,,262355,161638215,252925
Report,2021/7/13,US,,,,,,,341466,532556,,,
Admin,2021/7/14,US,522685,283008,342085550,187427633,254178,477874,,,262553,161900768,246438
Report,2021/7/14,US,,,,,,,545543,548045,,,
Admin,2021/7/15,US,532834,297188,342618384,187724821,255341,474357,,,258763,162159531,240508
Report,2021/7/15,US,,,,,,,567174,529879,,,
Admin,2021/7/16,US,616211,346589,343234595,188071410,258741,473229,,,291142,162450673,234663
Report,2021/7/16,US,,,,,,,549205,519678,,,
Admin,2021/7/17,US,394634,223573,343629229,188294983,260405,473073,,,182680,162633353,232205
Report,2021/7/17,US,,,,,,,635290,524863,,,
Admin,2021/7/18,US,230928,135334,343860157,188430317,263063,475554,,,101730,162735083,231860
Report,2021/7/18,US,,,,,,,500910,512673,,,
Admin,2021/7/19,US,560417,339058,344420574,188769375,272253,482465,,,242553,162977636,228825
Report,2021/7/19,US,,,,,,,507076,520952,,,
Admin,2021/7/20,US,595907,371297,345016481,189140672,285150,493373,,,245584,163223220,226429
Report,2021/7/20,US,,,,,,,243940,507020,,,
Admin,2021/7/21,US,620808,385122,345637289,189525794,299737,507391,,,256125,163479345,225511
Report,2021/7/21,US,,,,,,,611493,516441,,,
Admin,2021/7/22,US,640150,414680,346277439,189940474,316522,522722,,,247030,163726375,223834
Report,2021/7/22,US,,,,,,,660898,529830,,,
Admin,2021/7/23,US,736855,485532,347014294,190426006,336371,539957,,,276129,164002504,221690
Report,2021/7/23,US,,,,,,,600157,537109,,,
Admin,2021/7/24,US,457442,300605,347471736,190726611,347375,548929,,,167943,164170447,219584
Report,2021/7/24,US,,,,,,,676050,542932,,,
Admin,2021/7/25,US,256207,200913,347727943,190927524,356744,552540,,,60555,164231002,213702
Report,2021/7/25,US,,,,,,,778996,582659,,,
Admin,2021/7/26,US,634558,444392,348362501,191371916,371792,563132,,,213037,164444039,209486
Report,2021/7/26,US,,,,,,,393083,566374,,,
Admin,2021/7/27,US,691465,477350,349053966,191849266,386942,576783,,,242672,164686711,209070
Report,2021/7/27,US,,,,,,,395489,588024,,,
Admin,2021/7/28,US,708561,486675,349762527,192335941,401450,589319,,,249531,164936242,208128
Report,2021/7/28,US,,,,,,,753984,608380,,,
Admin,2021/7/29,US,707249,492015,350469776,192827956,412497,598905,,,242233,165178475,207442
Report,2021/7/29,US,,,,,,,710071,615404,,,
Admin,2021/7/30,US,818829,567449,351288605,193395405,424200,610615,,,278721,165457196,207813
Report,2021/7/30,US,,,,,,,856919,652085,,,
Admin,2021/7/31,US,505572,343442,351794177,193738847,430319,617491,,,173643,165630839,208627
Report,2021/7/31,US,,,,,,,711952,657213,,,
Admin,2021/8/1,US,311597,219602,352105774,193958449,432989,625404,,,93561,165724400,213342
Report,2021/8/1,US,,,,,,,816203,662529,,,
Admin,2021/8/2,US,706293,499688,352812067,194458137,440889,635652,,,228544,165952944,215557
Report,2021/8/2,US,,,,,,,467676,673185,,,
Admin,2021/8/3,US,749747,532091,353561814,194990228,448709,643978,,,244265,166197209,215785
Report,2021/8/3,US,,,,,,,452804,681373,,,
Admin,2021/8/4,US,764469,546218,354326283,195536446,457215,651965,,,245761,166442970,215246
Report,2021/8/4,US,,,,,,,725329,677279,,,
Admin,2021/8/5,US,778913,553257,355105196,196089703,465964,662202,,,254942,166697912,217062
Report,2021/8/5,US,,,,,,,863941,699261,,,
Admin,2021/8/6,US,892314,619351,355997510,196709054,473378,672700,,,300220,166998132,220133
Report,2021/8/6,US,,,,,,,821060,694138,,,
Admin,2021/8/7,US,549146,378412,356546656,197087466,478374,678925,,,183417,167181549,221530
Report,2021/8/7,US,,,,,,,839709,712389,,,
Admin,2021/8/8,US,343332,234633,356889988,197322099,480521,683459,,,113528,167295077,224382
Report,2021/8/8,US,,,,,,,773742,706323,,,
Admin,2021/8/9,US,769540,515599,357659528,197837698,482794,692494,,,277000,167572077,231304
Report,2021/8/9,US,,,,,,,532245,715547,,,
Admin,2021/8/10,US,785672,524669,358445200,198362367,481734,697626,,,284679,167856756,237078
Report,2021/8/10,US,,,,,,,617769,739114,,,
Admin,2021/8/11,US,754213,492676,359199413,198855043,474085,696161,,,285556,168142312,242763
Report,2021/8/11,US,,,,,,,654600,729009,,,
Admin,2021/8/12,US,788142,507673,359987555,199362716,467573,697479,,,302884,168445196,249612
Report,2021/8/12,US,,,,,,,654350,699068,,,
Admin,2021/8/13,US,930902,575027,360918457,199937743,461241,702992,,,376696,168821892,260537
Report,2021/8/13,US,,,,,,,918056,712924,,,
Admin,2021/8/14,US,614117,360569,361532574,200298312,458692,712274,,,235249,169057141,267941
Report,2021/8/14,US,,,,,,,990875,734520,,,
Admin,2021/8/15,US,391482,210851,361924056,200509163,455295,719152,,,156922,169214063,274140
Report,2021/8/15,US,,,,,,,664840,718962,,,
Admin,2021/8/16,US,854489,463063,362778545,200972226,447790,731288,,,343472,169557535,283636
Report,2021/8/16,US,,,,,,,858392,765555,,,
Admin,2021/8/17,US,905162,488347,363683707,201460573,442601,748358,,,352252,169909787,293290
Report,2021/8/17,US,,,,,,,602938,763436,,,
Admin,2021/8/18,US,932425,485258,364616132,201945831,441541,773817,,,366682,170276469,304879
Report,2021/8/18,US,,,,,,,704840,770613,,,
Admin,2021/8/19,US,924398,477815,365540530,202423646,437276,793282,,,368619,170645088,314270
Report,2021/8/19,US,,,,,,,1023545,823355,,,
Admin,2021/8/20,US,1082268,535220,366622798,202958866,431589,814905,,,462053,171107141,326464
Report,2021/8/20,US,,,,,,,1010907,836620,,,
Admin,2021/8/21,US,650778,319564,367273576,203278430,425731,820143,,,287375,171394516,333910
Report,2021/8/21,US,,,,,,,1050277,845106,,,
Admin,2021/8/22,US,381318,182925,367654894,203461355,421742,818691,,,173870,171568386,336331
Report,2021/8/22,US,,,,,,,973207,889158,,,
Admin,2021/8/23,US,899998,439297,368554892,203900652,418347,825192,,,391859,171960245,343244
Report,2021/8/23,US,,,,,,,610018,853676,,,
Admin,2021/8/24,US,927910,458197,369482802,204358849,414039,828442,,,400001,172360246,350065
Report,2021/8/24,US,,,,,,,648003,860114,,,
Admin,2021/8/25,US,942613,465087,370425415,204823936,411158,829897,,,406605,172766851,355768
Report,2021/8/25,US,,,,,,,926909,891838,,,
Admin,2021/8/26,US,963972,470794,371389387,205294730,410155,835551,,,415970,173182821,362533
Report,2021/8/26,US,,,,,,,924973,877756,,,
Admin,2021/8/27,US,1140384,529261,372529771,205823991,409304,843853,,,518449,173701270,370589
Report,2021/8/27,US,,,,,,,1070810,886314,,,
Admin,2021/8/28,US,693650,316248,373223421,206140239,408830,849977,,,328656,174029926,376487
Report,2021/8/28,US,,,,,,,1073386,889615,,,
Admin,2021/8/29,US,420163,192285,373643584,206332524,410167,855527,,,199051,174228977,380084
Report,2021/8/29,US,,,,,,,951864,886566,,,
Admin,2021/8/30,US,897763,411520,374541347,206744044,406199,855207,,,413470,174642447,383171
Report,2021/8/30,US,,,,,,,693177,898446,,,
Admin,2021/8/31,US,896750,412092,375438097,207156136,399612,850756,,,404609,175047056,383830
Report,2021/8/31,US,,,,,,,655116,899462,,,
Admin,2021/9/1,US,886634,414360,376324731,207570496,392366,842759,,,388375,175435431,381225
Report,2021/9/1,US,,,,,,,1068102,919633,,,
Admin,2021/9/2,US,864259,395228,377188990,207965724,381571,828514,,,383405,175818836,376573
Report,2021/9/2,US,,,,,,,836488,906992,,,
Admin,2021/9/3,US,1005469,445234,378194459,208410958,369567,809241,,,470692,176289528,369751
Report,2021/9/3,US,,,,,,,1400192,954046,,,
Admin,2021/9/4,US,542801,241489,378737260,208652447,358887,787691,,,267586,176557114,361026
Report,2021/9/4,US,,,,,,,972115,939579,,,
Admin,2021/9/5,US,355537,165415,379092797,208817862,355048,778459,,,167363,176724477,356500
Report,2021/9/5,US,,,,,,,599430,889231,,,
Admin,2021/9/6,US,167184,78353,379259981,208896215,307453,674090,,,81918,176806395,309135
Report,2021/9/6,US,,,,,,,404549,847999,,,
Admin,2021/9/7,US,879084,347896,380139065,209244111,298282,671566,,,460887,177267282,317175
Report,2021/9/7,US,,,,,,,502475,826193,,,
Admin,2021/9/8,US,816304,360428,380955369,209604539,290578,661519,,,385300,177652582,316735
Report,2021/9/8,US,,,,,,,959754,810715,,,
Admin,2021/9/9,US,814131,364143,381769500,209968682,286137,654358,,,379161,178031743,316129
Report,2021/9/9,US,,,,,,,666933,786493,,,
Admin,2021/9/10,US,995900,440096,382765400,210408778,285403,652991,,,478454,178510197,317238
Report,2021/9/10,US,,,,,,,947652,721844,,,
Admin,2021/9/11,US,576584,253002,383341984,210661780,287048,657817,,,287839,178798036,320131
Report,2021/9/11,US,,,,,,,902503,711899,,,
Admin,2021/9/12,US,337856,153450,383679840,210815230,285338,655291,,,166937,178964973,320070
Report,2021/9/12,US,,,,,,,769683,736221,,,
Admin,2021/9/13,US,749928,328057,384429768,211143287,321010,738541,,,367431,179332404,360858
Report,2021/9/13,US,,,,,,,589822,762689,,,
Admin,2021/9/14,US,718849,307572,385148617,211450859,315250,715650,,,360656,179693060,346539
Report,2021/9/14,US,,,,,,,621540,779698,,,
Admin,2021/9/15,US,725994,303616,385874611,211754475,307134,702748,,,370585,180063645,344437
Report,2021/9/15,US,,,,,,,841530,762809,,,
Admin,2021/9/16,US,726399,301632,386601010,212056107,298204,690215,,,372523,180436168,343489
Report,2021/9/16,US,,,,,,,743608,773763,,,
Admin,2021/9/17,US,865362,342566,387466372,212398673,284271,671567,,,458342,180894510,340616
Report,2021/9/17,US,,,,,,,956474,775023,,,
Admin,2021/9/18,US,500775,200018,387967147,212598691,276702,660737,,,263860,181158370,337190
Report,2021/9/18,US,,,,,,,916413,777010,,,
Admin,2021/9/19,US,293364,116639,388260511,212715330,271443,654381,,,158026,181316396,335917
Report,2021/9/19,US,,,,,,,674722,763444,,,
Admin,2021/9/20,US,655952,258958,388916463,212974288,261572,640956,,,333317,181649713,331044
Report,2021/9/20,US,,,,,,,651869,772308,,,
Admin,2021/9/21,US,643047,255443,389559510,213229731,254125,630127,,,322928,181972641,325654
Report,2021/9/21,US,,,,,,,542935,761079,,,
Admin,2021/9/22,US,633156,248821,390192666,213478552,246297,616865,,,317007,182289648,318000
Report,2021/9/22,US,,,,,,,712900,742703,,,
Admin,2021/9/23,US,641947,250526,390834613,213729078,238996,604800,,,309179,182598827,308951
Report,2021/9/23,US,,,,,,,327988,683329,,,
Admin,2021/9/24,US,936380,319697,391770993,214048775,235729,614945,,,389531,182988358,299121
Report,2021/9/24,US,,,,,,,745405,653176,,,
Admin,2021/9/25,US,640731,206895,392411724,214255670,236711,634939,,,216404,183204762,292341
Report,2021/9/25,US,,,,,,,805580,637343,,,
Admin,2021/9/26,US,388336,122163,392800060,214377833,237500,648507,,,136983,183341745,289335
Report,2021/9/26,US,,,,,,,741639,646902,,,
Admin,2021/9/27,US,907984,287530,393708044,214665363,241582,684511,,,196017,183537762,269721
Report,2021/9/27,US,,,,,,,550595,632435,,,
Admin,2021/9/28,US,1048472,292490,394756516,214957853,246875,742429,,,282864,183820626,263997
Report,2021/9/28,US,,,,,,,487651,624537,,,
Admin,2021/9/29,US,1042070,285850,395798586,215243703,252164,800845,,,288315,184108941,259899
Report,2021/9/29,US,,,,,,,840088,642707,,,
Admin,2021/9/30,US,1016116,277058,396814702,215520761,255955,854298,,,280706,184389647,255831
Report,2021/9/30,US,,,,,,,917333,726899,,,
Admin,2021/10/1,US,1107032,297499,397921734,215818260,252784,878677,,,327367,184717014,246950
Report,2021/10/1,US,,,,,,,846871,741394,,,
Admin,2021/10/2,US,549725,160987,398471459,215979247,246225,865676,,,182911,184899925,242166
Report,2021/10/2,US,,,,,,,933417,759656,,,
Admin,2021/10/3,US,321433,99972,398792892,216079219,243055,856118,,,115403,185015328,239083
Report,2021/10/3,US,,,,,,,1244542,831500,,,
Admin,2021/10/4,US,828989,230355,399621881,216309574,234887,844833,,,214079,185229407,241663
Report,2021/10/4,US,,,,,,,984739,893520,,,
Admin,2021/10/5,US,836060,218722,400457941,216528296,224349,814489,,,209248,185438655,231147
Report,2021/10/5,US,,,,,,,798491,937926,,,
Admin,2021/10/6,US,793475,206081,401251416,216734377,212953,778975,,,199539,185638194,218464
Report,2021/10/6,US,,,,,,,957359,954679,,,
Admin,2021/10/7,US,509177,134991,401760593,216869368,192658,706555,,,122447,185760641,195856
Report,2021/10/7,US,,,,,,,877030,948921,,,
Admin,2021/10/8,US,58646,20445,401819239,216889813,153079,556786,,,15764,185776405,151341
Report,2021/10/8,US,,,,,,,1116978,987508,,,
Admin,2021/10/9,US,1,1,401819240,216889814,130081,478254,,,0,185776405,125211
Report,2021/10/9,US,,,,,,,1149818,1018422,,,
